30011 Blanca;30011;Blanca;-1.337.996.099;3.819.980.873;6564;6521;6521;6521;6477;6460;6493;6489;6456;6370;6226;6119;6103;6073;5977;5885;5841;5803;5749;5706;5703; ;5690;3354;3324;3322;3320;3296;3282;3305;3308;3280;3216;3161;3092;3086;3068;2982;2934;2921;2899;2871;2831;2816; ;2811;3210;3197;3199;3201;3181;3178;3188;3181;3176;3154;3065;3027;3017;3005;2995;2951;2920;2904;2878;2875;2887;NA;2879
30012 Bullas;30012;Bullas;-1.686.320.979;3.801.548.917;11547;11546;11714;11753;12061;12288;12321;12361;12424;12493;12374;12020;11852;11641;11435;11252;11164;11013;10753;10677;10613; ;10488;5804;5804;5907;5922;6081;6216;6247;6278;6322;6361;6305;6113;6021;5900;5791;5690;5617;5546;5389;5349;5343; ;5293;5743;5742;5807;5831;5980;6072;6074;6083;6102;6132;6069;5907;5831;5741;5644;5562;5547;5467;5364;5328;5270;NA;5195
30013 Calasparra;30013;Calasparra;-1.673.811.991;3.827.095.094;10165;10214;10268;10423;10527;10558;10661;10685;10851;10759;10569;10282;9969;9862;9674;9405;9239;9066;8888;8934;8934; ;8917;5158;5172;5231;5279;5329;5329;5397;5410;5498;5456;5397;5233;5066;4977;4885;4746;4654;4531;4440;4493;4493; ;4475;5007;5042;5037;5144;5198;5229;5264;5275;5353;5303;5172;5049;4903;4885;4789;4659;4585;4535;4448;4441;4441;NA;4442
30014 Campos del R¡o;30014;Campos del R¡o;-1.368.485.136;3.806.205.496;2045;2022;2003;2083;2100;2176;2220;2226;2169;2210;2212;2182;2132;2061;2052;2032;2051;2032;2035;2005;2009; ;2019;973;958;957;996;1005;1039;1067;1069;1048;1069;1066;1052;1046;1016;1014;1000;1011;999;994;978;978; ;990;1072;1064;1046;1087;1095;1137;1153;1157;1121;1141;1146;1130;1086;1045;1038;1032;1040;1033;1041;1027;1031;NA;1029
30015 Caravaca de la Cruz;30015;Caravaca de la Cruz;-2.034.810.258;3.799.115.772;25730;25633;25591;25851;26280;26024;26415;26438;26449;26415;26240;25688;25257;24664;24179;23847;23362;22880;22250;22269;21924; ;21824;12859;12795;12803;12937;13174;13021;13270;13282;13282;13280;13234;12913;12707;12341;12081;11914;11653;11385;11034;11048;10864; ;10844;12871;12838;12788;12914;13106;13003;13145;13156;13167;13135;13006;12775;12550;12323;12098;11933;11709;11495;11216;11221;11060;NA;10980
30016 Cartagena;30016;Cartagena;-0.933974935;3.760.400.062;213943;214177;214759;216301;216451;217641;216655;214918;214165;211996;210376;207286;208609;203945;197665;194203;188003;183799;179939;177709;175628; ;170483;106701;106988;107344;108358;108511;109266;108897;108024;107774;106755;106305;104859;106497;103600;99404;97497;93836;91519;89098;87825;86656; ;83828;107242;107189;107415;107943;107940;108375;107758;106894;106391;105241;104071;102427;102112;100345;98261;96706;94167;92280;90841;89884;88972;NA;86655
30017 Ceheg¡n;30017;Ceheg¡n;-1.742.224.262;3.805.095.856;15022;15193;15321;15794;15955;16267;16248;16286;16299;16235;16188;15798;15553;15254;14804;14779;14502;14383;14171;14077;14037; ;14085;7550;7636;7685;7954;8054;8239;8227;8240;8248;8216;8196;7942;7817;7673;7396;7393;7275;7227;7089;7068;7051; ;7031;7472;7557;7636;7840;7901;8028;8021;8046;8051;8019;7992;7856;7736;7581;7408;7386;7227;7156;7082;7009;6986;NA;7054
30018 Ceut¡;30018;Ceut¡;-1.274.115.461;3.808.578.909;11565;11472;11321;11227;11035;10967;10881;10729;10448;10174;9759;9185;8910;8670;8343;8124;7891;7645;7305;7153;7041; ;6924;5824;5751;5682;5655;5563;5520;5476;5410;5298;5179;4999;4694;4583;4464;4268;4145;4024;3891;3703;3617;3561; ;3497;5741;5721;5639;5572;5472;5447;5405;5319;5150;4995;4760;4491;4327;4206;4075;3979;3867;3754;3602;3536;3480;NA;3427
30019 Cieza;30019;Cieza;-1.426.020.001;3.824.583.313;34889;34987;35134;35115;35064;35240;35351;35425;35385;35200;35144;34898;34735;34318;33825;33701;33223;32935;32126;31725;31637; ;31680;17486;17576;17689;17658;17614;17676;17720;17755;17775;17666;17623;17554;17478;17195;16858;16745;16445;16242;15752;15580;15482; ;15442;17403;17411;17445;17457;17450;17564;17631;17670;17610;17534;17521;17344;17257;17123;16967;16956;16778;16693;16374;16145;16155;NA;16238
30020 Fortuna;30020;Fortuna;-1.124.353.562;3.818.484.312;10060;10049;9960;9814;9714;9623;10098;10002;9813;9583;9274;8939;8665;8108;7707;7446;7194;6991;6814;6652;6502; ;6295;5363;5365;5325;5244;5156;5115;5356;5347;5233;5078;4892;4719;4580;4248;3992;3853;3713;3599;3475;3395;3310; ;3212;4697;4684;4635;4570;4558;4508;4742;4655;4580;4505;4382;4220;4085;3860;3715;3593;3481;3392;3339;3257;3192;NA;3083
30021 Fuente µlamo de Murcia;30021;Fuente µlamo de Murcia;-1.174.113.945;3.774.904.157;16184;16180;16205;16284;16338;16679;16175;15873;15193;14876;14925;14400;14261;13942;13210;12503;11866;11371;10140;9606;9451; ;9046;8459;8452;8427;8498;8524;8761;8472;8368;8000;7861;7952;7641;7642;7515;7024;6751;6374;6079;5201;4862;4771; ;4523;7725;7728;7778;7786;7814;7918;7703;7505;7193;7015;6973;6759;6619;6427;6186;5752;5492;5292;4939;4744;4680;NA;4523
30022 Jumilla;30022;Jumilla;-1.275.132.317;3.846.881.769;25547;25672;25362;25484;25476;25710;25711;25926;26015;25685;25348;24596;24124;24188;23958;23666;22968;22250;20854;20573;20420; ;20439;13334;13416;13174;13181;13211;13338;13383;13532;13626;13367;13113;12698;12421;12496;12280;12202;11790;11364;10426;10226;10148; ;10143;12213;12256;12188;12303;12265;12372;12328;12394;12389;12318;12235;11898;11703;11692;11678;11464;11178;10886;10428;10347;10272;NA;10296
30023 Librilla;30023;Librilla;-1.341.557.637;3.790.330.623;5196;5160;5107;5016;4900;4839;4842;4730;4614;4534;4455;4378;4243;4160;4088;4025;3997;3945;3908;3873;3823; ;3759;2654;2632;2607;2571;2504;2461;2451;2396;2321;2276;2235;2196;2139;2100;2055;2026;1991;1955;1924;1897;1888; ;1849;2542;2528;2500;2445;2396;2378;2391;2334;2293;2258;2220;2182;2104;2060;2033;1999;2006;1990;1984;1976;1935;NA;1910
30024 Lorca;30024;Lorca;-1.702.298.859;3.761.908.791;93079;92299;91730;91714;91759;92718;92865;92869;92694;91906;90924;89606;89936;87153;84245;82511;79481;77075;72000;70689;69930; ;69045;47660;47240;46949;46986;47126;47909;48135;48202;48171;47784;47421;46926;47370;45517;43484;42547;40756;39237;35821;35040;34607; ;34099;45419;45059;44781;44728;44633;44809;44730;44667;44523;44122;43503;42680;42566;41636;40761;39964;38725;37838;36179;35649;35323;NA;34946
30025 Lorqu¡;30025;Lorqu¡;-1.252.556.659;3.809.850.264;7002;7039;6969;7020;6948;6954;6983;7048;7038;6996;6904;6714;6493;6277;6115;5922;5883;5706;5562;5527;5482; ;5424;3543;3577;3536;3555;3536;3547;3580;3618;3621;3616;3570;3470;3369;3218;3119;3007;2984;2864;2772;2755;2724; ;2671;3459;3462;3433;3465;3412;3407;3403;3430;3417;3380;3334;3244;3124;3059;2996;2915;2899;2842;2790;2772;2758;NA;2753
30026 Mazarr¢n;30026;Mazarrón;-1.316.520.742;3.758.640.826;31562;30996;30704;32150;32718;35661;35408;35473;35464;35221;34351;32616;30841;28889;26122;24969;23025;21229;18847;17478;16829; ;16142;16308;15992;15835;16627;16962;18535;18436;18545;18614;18579;18185;17324;16459;15508;14003;13543;12540;11465;9840;8941;8560; ;8136;15254;15004;14869;15523;15756;17126;16972;16928;16850;16642;16166;15292;14382;13381;12119;11426;10485;9764;9007;8537;8269;NA;8006
30027 Molina de Segura;30027;Molina de Segura;-1.198.597.208;3.809.564.062;70964;70344;69614;69331;68775;68450;67382;66775;65815;64065;62407;59365;57431;54673;52588;50545;48421;46252;44389;43097;42008; ;41109;35392;35035;34700;34617;34372;34292;33785;33540;33094;32194;31587;29984;29012;27541;26371;25350;24273;23138;22104;21403;20854; ;20264;35572;35309;34914;34714;34403;34158;33597;33235;32721;31871;30820;29381;28419;27132;26217;25195;24148;23114;22285;21694;21154;NA;20845
30028 Moratalla;30028;Moratalla;-1.913.310.159;3.823.179.206;7954;8048;8145;8189;8219;8229;8290;8382;8444;8455;8424;8379;8414;8473;8549;8562;8600;8436;8460;8574;8574; ;8621;4051;4116;4153;4165;4176;4182;4209;4256;4313;4312;4276;4255;4286;4333;4368;4378;4390;4275;4275;4357;4357; ;4369;3903;3932;3992;4024;4043;4047;4081;4126;4131;4143;4148;4124;4128;4140;4181;4184;4210;4161;4185;4217;4217;NA;4252
30029 Mula;30029;Mula;-153.660.998;3.799.296.158;16790;16713;16689;16805;17008;17057;16968;17067;17076;16941;16942;16570;16283;16004;15592;15372;14870;14501;13738;13632;13518; ;13386;8619;8558;8526;8599;8754;8782;8715;8744;8742;8726;8771;8564;8397;8233;7959;7839;7563;7342;6819;6783;6713; ;6636;8171;8155;8163;8206;8254;8275;8253;8323;8334;8215;8171;8006;7886;7771;7633;7533;7307;7159;6919;6849;6805;NA;6750
30030 Murcia;30030;Murcia;-1.163.635.366;3.794.398.916;447182;443243;441003;439889;439712;438246;441354;442203;441345;436870;430571;422861;416996;409810;398815;391146;377888;367189;357166;353504;349040; ;345759;218511;216548;215535;215177;215226;214904;217338;218324;218501;216744;213786;210377;207800;203474;196770;192768;185532;179893;174017;171986;169669; ;168065;228671;226695;225468;224712;224486;223342;224016;223879;222844;220126;216785;212484;209196;206336;202045;198378;192356;187296;183149;181518;179371;NA;177694
30031 Oj¢s;30031;Ojós;-1.356.668.847;381.159.791;500;494;497;504;518;531;562;610;582;584;604;626;559;571;601;609;574;584;593;589;594; ;608;262;268;266;270;285;295;311;330;310;305;310;317;287;292;302;300;296;298;300;292;293; ;303;238;226;231;234;233;236;251;280;272;279;294;309;272;279;299;309;278;286;293;297;301;NA;305
30032 Pliego;30032;Pliego;-15.188.873;3.798.249.389;3842;3873;3933;3973;3937;3901;4051;4027;4045;4034;4032;3864;3713;3622;3507;3464;3417;3432;3409;3401;3383; ;3373;1989;2008;2031;2050;2029;2009;2093;2083;2099;2088;2096;2012;1939;1897;1816;1803;1755;1765;1746;1742;1729; ;1723;1853;1865;1902;1923;1908;1892;1958;1944;1946;1946;1936;1852;1774;1725;1691;1661;1662;1667;1663;1659;1654;NA;1650
