"price.open","price.high","price.low","price.close","volume","price.adjusted","ref.date","ticker","ret.adjusted.prices","ret.closing.prices"
101.800003,102.970001,99.349998,101.709999,64052500,100.569077,2018-11-20,"MSFT",NA,NA
103.599998,104.43,102.239998,103.110001,28130600,101.953369,2018-11-21,"MSFT",0.0137645888904798,0.0137646447130533
102.169998,103.809998,102,103.07,13823100,101.913811,2018-11-23,"MSFT",-0.000388000910494624,-0.000387944909437055
104.790001,106.629997,104.580002,106.470001,32336200,105.275681,2018-11-26,"MSFT",0.0329873838198438,0.0329872998932765
106.269997,107.330002,105.360001,107.139999,29124500,105.938156,2018-11-27,"MSFT",0.00629276385303079,0.00629283360296018
107.889999,111.330002,107.860001,111.120003,46788500,109.87352,2018-11-28,"MSFT",0.0371477487299288,0.0371476949519105
110.330002,111.120003,109.029999,110.190002,28123200,108.953957,2018-11-29,"MSFT",-0.00836928679448878,-0.00836933922688965
110.699997,110.970001,109.360001,110.889999,33665600,109.646095,2018-11-30,"MSFT",0.0063525733168186,0.00635263624008275
113,113.419998,110.730003,112.089996,34732800,110.832626,2018-12-03,"MSFT",0.0108214615395104,0.0108215078981109
111.940002,112.639999,108.209999,108.519997,45197000,107.302681,2018-12-04,"MSFT",-0.031849331080543,-0.0318493989419002
105.82,109.239998,105,109.190002,49107400,107.965172,2018-12-06,"MSFT",0.00617403958434171,0.00617402339220496
108.379997,109.449997,104.300003,104.82,45044900,103.644188,2018-12-07,"MSFT",-0.0400220174705969,-0.0400219976184267
104.800003,107.980003,103.889999,107.589996,40801500,106.38311,2018-12-10,"MSFT",0.0264261996051336,0.0264262163709217
109.800003,110.949997,107.440002,108.589996,42381900,107.371895,2018-12-11,"MSFT",0.00929456753050362,0.00929454444816602
110.889999,111.269997,109.040001,109.080002,36183000,107.8564,2018-12-12,"MSFT",0.0045124005681374,0.00451244145915619
109.580002,110.870003,108.629997,109.449997,31333400,108.222252,2018-12-13,"MSFT",0.00339202866032995,0.00339195996714414
108.25,109.260002,105.5,106.029999,47043100,104.840607,2018-12-14,"MSFT",-0.0312472244617492,-0.0312471273982766
105.410004,105.800003,101.709999,102.889999,56957300,101.735832,2018-12-17,"MSFT",-0.0296142409782119,-0.0296142603943625
103.75,104.510002,102.519997,103.970001,49319200,102.803719,2018-12-18,"MSFT",0.0104966655209544,0.0104966664447144
103.650002,106.879997,101.349998,103.690002,68198200,102.526863,2018-12-19,"MSFT",-0.00269305432423117,-0.00269307489955672
103.050003,104.309998,98.779999,101.510002,70334200,100.371323,2018-12-20,"MSFT",-0.0210241485687512,-0.02102420636466
101.629997,103,97.459999,98.230003,111242100,97.128105,2018-12-21,"MSFT",-0.0323121973793251,-0.0323120769911915
97.68,97.970001,93.980003,94.129997,43935200,93.074097,2018-12-24,"MSFT",-0.0417387737565765,-0.0417388361476482
95.139999,100.690002,93.959999,100.559998,51634800,99.431976,2018-12-26,"MSFT",0.0683098649885372,0.0683097971414999
99.300003,101.190002,96.400002,101.18,49498500,100.045013,2018-12-27,"MSFT",0.00616539090000567,0.00616549336049133
102.089996,102.410004,99.519997,100.389999,38196300,99.263878,2018-12-28,"MSFT",-0.00780783545902475,-0.00780787705080055
101.290001,102.400002,100.440002,101.57,33173800,100.430641,2018-12-31,"MSFT",0.0117541549202822,0.0117541688589915
99.550003,101.75,98.940002,101.120003,35329300,99.985695,2019-01-02,"MSFT",-0.00443038096311654,-0.00443041252338283
100.099998,100.190002,97.199997,97.400002,42579100,96.307419,2019-01-03,"MSFT",-0.0367880225266225,-0.0367879834813691
99.720001,102.510002,98.93,101.93,44060600,100.786606,2019-01-04,"MSFT",0.0465092621784413,0.0465092187575109
101.639999,103.269997,100.980003,102.059998,35656100,100.915146,2019-01-07,"MSFT",0.0012753678797357,0.00127536544687512
