id;Cod_Municipio;Municipio;long;lat;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000;1999;1998;1997;1996
30009 Archena;30009 ;Archena;-1.295385194;38.11667717;19,053;18,771;18,734;18,559;18,570;18,369;18,496;18,083;18,135;18,202;18,280;17,634;16,707;16,277;15,856;15,792;15,375;15,018;14,516;14,398;14,176; ;14,163;9,978;9,817;9,758;9,630;9,658;9,576;9,671;9,434;9,455;9,438;9,446;9,062;8,532;8,304;8,057;7,998;7,740;7,545;7,211;7,160;7,066; ;7,031;9,075;8,954;8,976;8,929;8,912;8,793;8,825;8,649;8,680;8,764;8,834;8,572;8,175;7,973;7,799;7,794;7,635;7,473;7,305;7,238;7,110; ;7,132
30010 Beniel;30010 ;Beniel;-0.995015561;38.03257459;11,274;11,233;11,114;11,096;11,112;11,160;11,198;11,068;11,027;10,933;10,581;10,294;10,085;9,814;9,420;9,151;8,962;8,470;8,116;7,974;7,906; ;7,862;5,819;5,772;5,707;5,670;5,713;5,755;5,794;5,724;5,695;5,662;5,554;5,450;5,350;5,161;4,875;4,745;4,603;4,316;4,063;3,965;3,927; ;3,901;5,455;5,461;5,407;5,426;5,399;5,405;5,404;5,344;5,332;5,271;5,027;4,844;4,735;4,653;4,545;4,406;4,359;4,154;4,053;4,009;3,979; ;3,961
30011 Blanca;30011 ;Blanca;-1.337996099;38.19980873;6,564;6,521;6,521;6,521;6,477;6,460;6,493;6,489;6,456;6,370;6,226;6,119;6,103;6,073;5,977;5,885;5,841;5,803;5,749;5,706;5,703; ;5,690;3,354;3,324;3,322;3,320;3,296;3,282;3,305;3,308;3,280;3,216;3,161;3,092;3,086;3,068;2,982;2,934;2,921;2,899;2,871;2,831;2,816; ;2,811;3,210;3,197;3,199;3,201;3,181;3,178;3,188;3,181;3,176;3,154;3,065;3,027;3,017;3,005;2,995;2,951;2,920;2,904;2,878;2,875;2,887; ;2,879
30012 Bullas;30012 ;Bullas;-1.686320979;38.01548917;11,547;11,546;11,714;11,753;12,061;12,288;12,321;12,361;12,424;12,493;12,374;12,020;11,852;11,641;11,435;11,252;11,164;11,013;10,753;10,677;10,613; ;10,488;5,804;5,804;5,907;5,922;6,081;6,216;6,247;6,278;6,322;6,361;6,305;6,113;6,021;5,900;5,791;5,690;5,617;5,546;5,389;5,349;5,343; ;5,293;5,743;5,742;5,807;5,831;5,980;6,072;6,074;6,083;6,102;6,132;6,069;5,907;5,831;5,741;5,644;5,562;5,547;5,467;5,364;5,328;5,270; ;5,195
30013 Calasparra;30013 ;Calasparra;-1.673811991;38.27095094;10,165;10,214;10,268;10,423;10,527;10,558;10,661;10,685;10,851;10,759;10,569;10,282;9,969;9,862;9,674;9,405;9,239;9,066;8,888;8,934;8,934; ;8,917;5,158;5,172;5,231;5,279;5,329;5,329;5,397;5,410;5,498;5,456;5,397;5,233;5,066;4,977;4,885;4,746;4,654;4,531;4,440;4,493;4,493; ;4,475;5,007;5,042;5,037;5,144;5,198;5,229;5,264;5,275;5,353;5,303;5,172;5,049;4,903;4,885;4,789;4,659;4,585;4,535;4,448;4,441;4,441; ;4,442
30014 Campos del R¡o;30014 ;Campos del R¡o;-1.368485136;38.06205496;2,045;2,022;2,003;2,083;2,100;2,176;2,220;2,226;2,169;2,210;2,212;2,182;2,132;2,061;2,052;2,032;2,051;2,032;2,035;2,005;2,009; ;2,019;973;958;957;996;1,005;1,039;1,067;1,069;1,048;1,069;1,066;1,052;1,046;1,016;1,014;1,000;1,011;999;994;978;978; ;990;1,072;1,064;1,046;1,087;1,095;1,137;1,153;1,157;1,121;1,141;1,146;1,130;1,086;1,045;1,038;1,032;1,040;1,033;1,041;1,027;1,031; ;1,029
30015 Caravaca de la Cruz;30015 ;Caravaca de la Cruz;-2.034810258;37.99115772;25,730;25,633;25,591;25,851;26,280;26,024;26,415;26,438;26,449;26,415;26,240;25,688;25,257;24,664;24,179;23,847;23,362;22,880;22,250;22,269;21,924; ;21,824;12,859;12,795;12,803;12,937;13,174;13,021;13,270;13,282;13,282;13,280;13,234;12,913;12,707;12,341;12,081;11,914;11,653;11,385;11,034;11,048;10,864; ;10,844;12,871;12,838;12,788;12,914;13,106;13,003;13,145;13,156;13,167;13,135;13,006;12,775;12,550;12,323;12,098;11,933;11,709;11,495;11,216;11,221;11,060; ;10,980
30016 Cartagena;30016 ;Cartagena;-0.933974935;37.60400062;213,943;214,177;214,759;216,301;216,451;217,641;216,655;214,918;214,165;211,996;210,376;207,286;208,609;203,945;197,665;194,203;188,003;183,799;179,939;177,709;175,628; ;170,483;106,701;106,988;107,344;108,358;108,511;109,266;108,897;108,024;107,774;106,755;106,305;104,859;106,497;103,600;99,404;97,497;93,836;91,519;89,098;87,825;86,656; ;83,828;107,242;107,189;107,415;107,943;107,940;108,375;107,758;106,894;106,391;105,241;104,071;102,427;102,112;100,345;98,261;96,706;94,167;92,280;90,841;89,884;88,972; ;86,655
30017 Ceheg¡n;30017 ;Ceheg¡n;-1.742224262;38.05095856;15,022;15,193;15,321;15,794;15,955;16,267;16,248;16,286;16,299;16,235;16,188;15,798;15,553;15,254;14,804;14,779;14,502;14,383;14,171;14,077;14,037; ;14,085;7,550;7,636;7,685;7,954;8,054;8,239;8,227;8,240;8,248;8,216;8,196;7,942;7,817;7,673;7,396;7,393;7,275;7,227;7,089;7,068;7,051; ;7,031;7,472;7,557;7,636;7,840;7,901;8,028;8,021;8,046;8,051;8,019;7,992;7,856;7,736;7,581;7,408;7,386;7,227;7,156;7,082;7,009;6,986; ;7,054
30018 Ceut¡;30018 ;Ceut¡;-1.274115461;38.08578909;11,565;11,472;11,321;11,227;11,035;10,967;10,881;10,729;10,448;10,174;9,759;9,185;8,910;8,670;8,343;8,124;7,891;7,645;7,305;7,153;7,041; ;6,924;5,824;5,751;5,682;5,655;5,563;5,520;5,476;5,410;5,298;5,179;4,999;4,694;4,583;4,464;4,268;4,145;4,024;3,891;3,703;3,617;3,561; ;3,497;5,741;5,721;5,639;5,572;5,472;5,447;5,405;5,319;5,150;4,995;4,760;4,491;4,327;4,206;4,075;3,979;3,867;3,754;3,602;3,536;3,480; ;3,427
